nom,prix,adresse ,image
Berger allemand,350000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2354463_uploaded_image2_1593244171.jpeg""); width: 532px;"
Chiot yorkie,300000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2373725_uploaded_image2_1593562238.jpeg""); width: 498px;"
Berger allemand,350000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2374457_uploaded_image2_1593588468.jpeg""); width: 400px;"
Chiot Caniche,300000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2417666_uploaded_image3_1594290464.jpeg""); width: 369px;"
Malinois pur sang,250000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2425090_uploaded_image2_1594426421.jpeg""); width: 375px;"
Chiots malinois,250000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2441977_uploaded_image2_1594815580.jpeg""); width: 369px;"
Chiots bichons,200000,"Mermoz-Sacré-Cœur, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2443734_uploaded_image1_1594839124.jpg""); width: 472px;"
Chiots,300000,"Dieuppeul-Derklé, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2452744_uploaded_image2_1595018956.jpeg""); width: 436px;"
Chiots Malinois,200000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2457699_uploaded_image2_1595163104.jpeg""); width: 400px;"
Chiots Bichons Maltais,195000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2460286_uploaded_image2_1595235681.jpeg""); width: 369px;"
Yorkshire toy femelle,750000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2466136_uploaded_image2_1595344531.jpeg""); width: 488px;"
Chiens  Berger allemand,200000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2482151_uploaded_image1_1595683430.jpg""); width: 554px;"
Berger allemand,175000,"Saly, Sénégal","background-image: url(""https://images.coinafrique.com/2508974_uploaded_image2_1596479159.jpeg""); width: 369px;"
Chiots Rottweiler,300000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2528100_uploaded_image2_1597008493.jpeg""); width: 369px;"
